event_id,user_id,event_type,timestamp
evt_262998,user_1,login,2024-03-25 04:00:00
evt_385577,user_1,click,2024-03-30 03:00:00
evt_395442,user_1,login,2024-03-31 21:00:00
evt_734210,user_1,signup,2024-04-07 00:00:00
evt_320861,user_1,click,2024-04-10 20:00:00
evt_852470,user_1,login,2024-04-12 17:00:00
evt_459536,user_1,click,2024-04-13 09:00:00
evt_313487,user_1,login,2024-04-14 17:00:00
evt_820892,user_1,click,2024-04-17 17:00:00
evt_765046,user_1,verify_email,2024-04-19 03:00:00
evt_269430,user_2,upgrade,2024-01-16 00:00:00
evt_877236,user_2,click,2024-01-17 20:00:00
evt_563298,user_2,verify_email,2024-01-23 01:00:00
evt_678478,user_2,login,2024-01-25 04:00:00
evt_839945,user_2,upgrade,2024-01-28 08:00:00
evt_548462,user_2,login,2024-01-31 15:00:00
evt_688153,user_2,verify_email,2024-02-04 08:00:00
evt_672092,user_3,login,2024-01-07 02:00:00
evt_137778,user_3,login,2024-02-01 04:00:00
evt_975136,user_3,click,2024-02-03 22:00:00
evt_207786,user_4,login,2024-04-08 01:00:00
evt_470858,user_4,login,2024-04-08 13:00:00
evt_918011,user_4,verify_email,2024-04-10 21:00:00
evt_687080,user_4,login,2024-04-11 21:00:00
evt_526117,user_4,login,2024-04-13 11:00:00
evt_750810,user_4,verify_email,2024-04-22 17:00:00
evt_885884,user_4,upgrade,2024-05-02 01:00:00
evt_262060,user_4,login,2024-05-02 11:00:00
evt_941204,user_5,login,2024-02-05 05:00:00
evt_802448,user_5,click,2024-02-28 10:00:00
evt_870763,user_5,login,2024-03-01 05:00:00
evt_950132,user_5,click,2024-03-01 13:00:00
evt_360222,user_5,login,2024-03-03 05:00:00
evt_379766,user_5,signup,2024-03-04 13:00:00
evt_956253,user_6,login,2024-02-04 12:00:00
evt_582662,user_6,login,2024-02-08 06:00:00
evt_466643,user_6,click,2024-02-26 22:00:00
evt_420015,user_6,verify_email,2024-02-28 01:00:00
evt_960394,user_6,verify_email,2024-02-28 15:00:00
evt_462479,user_7,verify_email,2024-01-30 03:00:00
evt_863934,user_7,verify_email,2024-02-01 08:00:00
evt_924629,user_7,click,2024-02-03 18:00:00
evt_428914,user_7,verify_email,2024-02-05 00:00:00
evt_557592,user_7,login,2024-02-06 02:00:00
evt_735656,user_7,login,2024-02-08 00:00:00
evt_636265,user_7,login,2024-02-09 20:00:00
evt_221263,user_7,click,2024-02-10 10:00:00
evt_503906,user_7,login,2024-02-14 12:00:00
evt_704596,user_7,click,2024-02-17 13:00:00
evt_299312,user_7,login,2024-02-19 06:00:00
evt_367095,user_7,login,2024-02-19 17:00:00
evt_146542,user_7,upgrade,2024-02-25 07:00:00
evt_843215,user_7,verify_email,2024-02-28 08:00:00
evt_557239,user_7,signup,2024-02-28 08:00:00
evt_872840,user_8,click,2024-02-03 17:00:00
evt_803204,user_8,signup,2024-02-08 23:00:00
evt_306606,user_8,click,2024-02-17 23:00:00
evt_442027,user_9,login,2024-04-17 02:00:00
evt_521947,user_9,upgrade,2024-04-20 09:00:00
evt_831076,user_9,click,2024-04-23 10:00:00
evt_410016,user_9,login,2024-04-25 03:00:00
evt_681343,user_9,upgrade,2024-04-25 13:00:00
evt_233470,user_9,login,2024-04-27 09:00:00
evt_301158,user_9,upgrade,2024-05-03 10:00:00
evt_540869,user_9,verify_email,2024-05-04 21:00:00
evt_636004,user_10,login,2024-01-20 13:00:00
evt_596171,user_10,verify_email,2024-01-23 09:00:00
evt_932291,user_10,login,2024-01-23 12:00:00
evt_934692,user_10,verify_email,2024-01-24 14:00:00
evt_871711,user_10,click,2024-01-28 14:00:00
evt_277934,user_10,click,2024-01-31 00:00:00
evt_790855,user_10,upgrade,2024-02-02 18:00:00
evt_188914,user_10,verify_email,2024-02-02 20:00:00
evt_397571,user_10,login,2024-02-04 06:00:00
evt_640490,user_10,login,2024-02-04 23:00:00
evt_796101,user_10,login,2024-02-08 18:00:00
evt_763686,user_10,login,2024-02-11 05:00:00
evt_749342,user_10,login,2024-02-13 12:00:00
evt_760356,user_11,click,2024-03-28 07:00:00
evt_703634,user_11,login,2024-03-29 07:00:00
evt_303880,user_11,login,2024-03-31 00:00:00
evt_853240,user_11,signup,2024-04-03 06:00:00
evt_830180,user_11,signup,2024-04-10 13:00:00
evt_502630,user_11,signup,2024-04-11 19:00:00
evt_618392,user_11,upgrade,2024-04-17 09:00:00
evt_519066,user_11,signup,2024-04-23 02:00:00
evt_643118,user_12,verify_email,2024-04-08 20:00:00
evt_587115,user_12,login,2024-04-11 05:00:00
evt_152657,user_12,click,2024-04-26 00:00:00
evt_684482,user_12,upgrade,2024-04-28 13:00:00
evt_361303,user_12,click,2024-04-29 22:00:00
evt_989545,user_12,login,2024-05-02 03:00:00
evt_432711,user_13,login,2024-05-08 04:00:00
evt_891937,user_13,signup,2024-05-11 19:00:00
evt_564071,user_13,upgrade,2024-05-15 16:00:00
evt_742412,user_13,click,2024-05-19 14:00:00
evt_666390,user_14,login,2024-03-17 08:00:00
evt_184491,user_14,click,2024-03-17 08:00:00
evt_245095,user_14,click,2024-03-18 16:00:00
evt_258157,user_14,login,2024-03-20 10:00:00
evt_342495,user_14,upgrade,2024-03-23 17:00:00
evt_501641,user_14,upgrade,2024-03-24 02:00:00
evt_827659,user_14,login,2024-03-24 05:00:00
evt_260227,user_14,login,2024-03-24 08:00:00
evt_840734,user_14,signup,2024-03-25 20:00:00
evt_324345,user_14,login,2024-04-01 09:00:00
evt_167348,user_14,signup,2024-04-02 15:00:00
evt_535020,user_14,login,2024-04-03 07:00:00
evt_527398,user_14,upgrade,2024-04-05 20:00:00
evt_446954,user_14,login,2024-04-07 16:00:00
evt_870319,user_15,login,2024-01-12 11:00:00
evt_672661,user_15,login,2024-01-12 18:00:00
evt_938722,user_15,verify_email,2024-01-13 06:00:00
evt_732556,user_15,click,2024-01-21 12:00:00
evt_331251,user_15,verify_email,2024-01-24 15:00:00
evt_611945,user_15,verify_email,2024-01-24 18:00:00
evt_330080,user_15,login,2024-01-26 13:00:00
evt_386193,user_15,click,2024-01-29 23:00:00
evt_557007,user_15,click,2024-02-07 13:00:00
evt_609232,user_15,signup,2024-02-08 13:00:00
evt_130434,user_15,login,2024-02-11 22:00:00
evt_188025,user_16,login,2024-03-16 12:00:00
evt_773971,user_16,login,2024-03-26 21:00:00
evt_549433,user_16,login,2024-04-03 18:00:00
evt_242291,user_16,login,2024-04-04 17:00:00
evt_584125,user_16,login,2024-04-06 00:00:00
evt_290556,user_16,login,2024-04-06 12:00:00
evt_152727,user_16,click,2024-04-08 05:00:00
evt_372793,user_16,login,2024-04-11 14:00:00
evt_497519,user_16,login,2024-04-14 04:00:00
evt_335113,user_17,login,2024-02-25 11:00:00
evt_781725,user_17,login,2024-03-01 14:00:00
evt_171951,user_17,click,2024-03-03 02:00:00
evt_919182,user_17,login,2024-03-03 13:00:00
evt_783414,user_17,login,2024-03-05 10:00:00
evt_142213,user_17,click,2024-03-10 00:00:00
evt_890870,user_17,login,2024-03-18 17:00:00
evt_132537,user_17,login,2024-03-19 12:00:00
evt_587623,user_18,click,2024-01-08 18:00:00
evt_833442,user_18,login,2024-01-11 00:00:00
evt_368690,user_18,login,2024-01-12 04:00:00
evt_904150,user_18,upgrade,2024-01-20 21:00:00
evt_486814,user_18,signup,2024-01-24 04:00:00
evt_275939,user_18,verify_email,2024-02-04 06:00:00
evt_354646,user_19,login,2024-01-04 09:00:00
evt_206851,user_19,upgrade,2024-01-07 18:00:00
evt_831059,user_19,signup,2024-01-10 02:00:00
evt_910004,user_19,signup,2024-01-16 22:00:00
evt_416232,user_19,signup,2024-01-22 21:00:00
evt_991597,user_19,signup,2024-01-22 22:00:00
evt_817497,user_19,signup,2024-01-23 23:00:00
evt_729577,user_19,login,2024-01-26 03:00:00
evt_944657,user_19,login,2024-01-28 05:00:00
evt_226935,user_19,verify_email,2024-01-30 20:00:00
evt_934904,user_19,login,2024-02-02 12:00:00
evt_693423,user_19,signup,2024-02-03 09:00:00
evt_947458,user_20,login,2024-01-12 13:00:00
evt_664315,user_20,login,2024-01-13 11:00:00
evt_912270,user_20,click,2024-01-14 16:00:00
evt_606983,user_20,signup,2024-01-15 13:00:00
evt_587455,user_20,login,2024-01-20 19:00:00
evt_556732,user_20,verify_email,2024-01-25 05:00:00
evt_965845,user_20,click,2024-01-29 13:00:00
evt_866536,user_20,click,2024-02-01 10:00:00
evt_721254,user_20,login,2024-02-01 14:00:00
evt_381433,user_20,verify_email,2024-02-02 11:00:00
